date,ticker,session,weight_pct
2001-12-18,MU,amc,4.25
2002-01-16,AMD,amc,3.35
2002-01-17,MSFT,amc,5.96
2002-03-21,MU,amc,4.25
2002-04-16,INTC,amc,2.14
2002-04-17,AAPL,amc,7.18
2002-04-17,AMD,amc,3.35
2002-04-18,MSFT,amc,5.96
2002-04-23,AMZN,amc,4.74
2002-05-07,CSCO,amc,2.11
2002-05-14,WMT,bmo,2.4
2002-05-22,NVDA,amc,8.34
2002-06-25,MU,bmo,4.25
2002-07-16,AAPL,amc,7.18
2002-07-16,INTC,amc,2.14
2002-07-17,AMD,amc,3.35
2002-07-18,MSFT,amc,5.96
2002-07-23,AMZN,amc,4.74
2002-08-06,CSCO,amc,2.11
2002-08-13,WMT,bmo,2.4
2002-08-15,NVDA,amc,8.34
2002-09-24,MU,amc,4.25
2002-10-15,INTC,amc,2.14
2002-10-16,AAPL,amc,7.18
2002-10-16,AMD,amc,3.35
2002-10-17,MSFT,amc,5.96
2002-10-24,AMZN,amc,4.74
2002-11-06,CSCO,amc,2.11
2002-11-07,NVDA,amc,8.34
2002-11-13,WMT,bmo,2.4
2002-12-17,MU,amc,4.25
2003-01-14,INTC,amc,2.14
2003-01-15,AAPL,amc,7.18
2003-01-16,AMD,amc,3.35
2003-01-16,MSFT,amc,5.96
2003-01-23,AMZN,amc,4.74
2003-02-04,CSCO,amc,2.11
2003-02-13,NVDA,amc,8.34
2003-02-18,WMT,bmo,2.4
2003-03-20,MU,amc,4.25
2003-04-15,INTC,amc,2.14
2003-04-15,MSFT,amc,5.96
2003-04-16,AAPL,amc,7.18
2003-04-16,AMD,amc,3.35
2003-04-24,AMZN,amc,4.74
2003-05-06,CSCO,amc,2.11
2003-05-08,NVDA,amc,8.34
2003-05-13,WMT,bmo,2.4
2003-06-18,MU,amc,4.25
2003-07-15,INTC,amc,2.14
2003-07-16,AAPL,amc,7.18
2003-07-16,AMD,amc,3.35
2003-07-17,MSFT,amc,5.96
2003-07-22,AMZN,amc,4.74
2003-08-05,CSCO,amc,2.11
2003-08-07,NVDA,amc,8.34
2003-08-13,WMT,bmo,2.4
2003-09-24,MU,amc,4.25
2003-10-14,INTC,amc,2.14
2003-10-15,AAPL,amc,7.18
2003-10-16,AMD,amc,3.35
2003-10-21,AMZN,amc,4.74
2003-10-23,MSFT,amc,5.96
2003-11-05,CSCO,amc,2.11
2003-11-06,NVDA,amc,8.34
2003-11-13,WMT,bmo,2.4
2003-12-23,MU,amc,4.25
2004-01-14,AAPL,amc,7.18
2004-01-14,INTC,amc,2.14
2004-01-20,AMD,amc,3.35
2004-01-22,MSFT,amc,5.96
2004-01-27,AMZN,amc,4.74
2004-02-03,CSCO,amc,2.11
2004-02-12,NVDA,amc,8.34
2004-02-19,WMT,bmo,2.4
2004-03-24,MU,amc,4.25
2004-04-13,INTC,amc,2.14
2004-04-14,AAPL,amc,7.18
2004-04-14,AMD,amc,3.35
2004-04-22,AMZN,amc,4.74
2004-04-22,MSFT,amc,5.96
2004-05-06,NVDA,amc,8.34
2004-05-11,CSCO,amc,2.11
2004-05-13,WMT,bmo,2.4
2004-06-23,MU,amc,4.25
2004-07-13,INTC,amc,2.14
2004-07-14,AAPL,bmo,7.18
2004-07-14,AMD,amc,3.35
2004-07-22,AMZN,amc,4.74
2004-07-22,MSFT,amc,5.96
2004-08-05,NVDA,amc,8.34
2004-08-10,CSCO,amc,2.11
2004-08-12,WMT,bmo,2.4
2004-09-29,MU,amc,4.25
2004-10-07,AMD,amc,3.35
2004-10-12,INTC,amc,2.14
2004-10-13,AAPL,amc,7.18
2004-10-21,AMZN,amc,4.74
2004-10-21,GOOGL,amc,6.38
2004-10-21,MSFT,amc,5.96
2004-11-04,NVDA,amc,8.34
2004-11-09,CSCO,amc,2.11
2004-11-16,WMT,bmo,2.4
2004-12-22,MU,amc,4.25
2005-01-11,INTC,amc,2.14
2005-01-12,AAPL,amc,7.18
2005-01-18,AMD,amc,3.35
2005-01-27,MSFT,amc,5.96
2005-02-01,GOOGL,amc,6.38
2005-02-02,AMZN,amc,4.74
2005-02-08,CSCO,amc,2.11
2005-02-17,NVDA,amc,8.34
2005-02-17,WMT,bmo,2.4
2005-03-29,MU,amc,4.25
2005-04-13,AAPL,amc,7.18
2005-04-13,AMD,amc,3.35
2005-04-19,INTC,amc,2.14
2005-04-21,GOOGL,amc,6.38
2005-04-26,AMZN,amc,4.74
2005-04-28,MSFT,amc,5.96
2005-05-10,CSCO,amc,2.11
2005-05-12,NVDA,amc,8.34
2005-05-12,WMT,bmo,2.4
2005-06-23,MU,amc,4.25
2005-07-13,AAPL,amc,7.18
2005-07-13,AMD,amc,3.35
2005-07-19,INTC,amc,2.14
2005-07-21,GOOGL,amc,6.38
2005-07-21,MSFT,amc,5.96
2005-07-26,AMZN,amc,4.74
2005-08-09,CSCO,amc,2.11
2005-08-11,NVDA,amc,8.34
2005-08-16,WMT,bmo,2.4
2005-09-29,MU,amc,4.25
2005-10-11,AAPL,amc,7.18
2005-10-11,AMD,amc,3.35
2005-10-18,INTC,amc,2.14
2005-10-20,GOOGL,amc,6.38
2005-10-25,AMZN,amc,4.74
2005-10-27,MSFT,amc,5.96
2005-11-09,CSCO,amc,2.11
2005-11-09,NVDA,amc,8.34
2005-11-14,WMT,bmo,2.4
2005-12-21,MU,amc,4.25
2006-01-17,INTC,amc,2.14
2006-01-18,AAPL,amc,7.18
2006-01-18,AMD,amc,3.35
2006-01-26,MSFT,amc,5.96
2006-01-31,GOOGL,amc,6.38
2006-02-02,AMZN,amc,4.74
2006-02-07,CSCO,amc,2.11
2006-02-16,NVDA,amc,8.34
2006-02-21,WMT,bmo,2.4
2006-04-10,MU,amc,4.25
2006-04-12,AMD,amc,3.35
2006-04-19,AAPL,amc,7.18
2006-04-19,INTC,amc,2.14
2006-04-20,GOOGL,amc,6.38
2006-04-25,AMZN,amc,4.74
2006-04-27,MSFT,amc,5.96
2006-05-09,CSCO,amc,2.11
2006-05-11,NVDA,amc,8.34
2006-05-16,WMT,bmo,2.4
2006-06-28,MU,amc,4.25
2006-07-19,AAPL,amc,7.18
2006-07-19,INTC,amc,2.14
2006-07-20,AMD,amc,3.35
2006-07-20,GOOGL,amc,6.38
2006-07-20,MSFT,amc,5.96
2006-07-25,AMZN,amc,4.74
2006-08-08,CSCO,amc,2.11
2006-08-15,WMT,bmo,2.4
2006-10-05,MU,amc,4.25
2006-10-17,INTC,amc,2.14
2006-10-18,AAPL,amc,7.18
2006-10-18,AMD,amc,3.35
2006-10-19,GOOGL,amc,6.38
2006-10-24,AMZN,amc,4.74
2006-10-26,MSFT,amc,5.96
2006-11-08,CSCO,amc,2.11
2006-11-09,NVDA,amc,8.34
2006-11-14,WMT,bmo,2.4
2006-12-21,MU,amc,4.25
2007-01-16,INTC,amc,2.14
2007-01-17,AAPL,amc,7.18
2007-01-23,AMD,amc,3.35
2007-01-25,MSFT,amc,5.96
2007-01-31,GOOGL,amc,6.38
2007-02-01,AMZN,amc,4.74
2007-02-06,CSCO,amc,2.11
2007-02-13,NVDA,amc,8.34
2007-02-20,WMT,bmo,2.4
2007-04-04,MU,amc,4.25
2007-04-17,INTC,amc,2.14
2007-04-19,AMD,amc,3.35
2007-04-19,GOOGL,amc,6.38
2007-04-24,AMZN,amc,4.74
2007-04-25,AAPL,amc,7.18
2007-04-26,MSFT,amc,5.96
2007-05-08,CSCO,amc,2.11
2007-05-10,NVDA,amc,8.34
2007-05-15,WMT,bmo,2.4
2007-06-28,MU,amc,4.25
2007-07-17,INTC,amc,2.14
2007-07-19,AMD,amc,3.35
2007-07-19,GOOGL,amc,6.38
2007-07-19,MSFT,amc,5.96
2007-07-24,AMZN,amc,4.74
2007-07-25,AAPL,amc,7.18
2007-08-07,CSCO,amc,2.11
2007-08-09,NVDA,amc,8.34
2007-08-14,WMT,bmo,2.4
2007-10-02,MU,amc,4.25
2007-10-16,INTC,amc,2.14
2007-10-18,AMD,amc,3.35
2007-10-18,GOOGL,amc,6.38
2007-10-22,AAPL,amc,7.18
2007-10-23,AMZN,amc,4.74
